id,frequency,frequency_short,last_updated,notes,observation_end,observation_start,popularity,realtime_end,realtime_start,seasonal_adjustment,seasonal_adjustment_short,title,units,units_short
CES0000000039,Monthly,M,2018-09-07 08:15:23-05,"The nonfarm business sector is a subset of the domestic economy and excludes the economic activities of the following: general government, private households, nonprofit organizations serving individuals, and farms.  To obtain estimates of women worker employment, the ratio of weighted women employees to the weighted all employees in the sample is assumed to equal the same ratio in the universe. The current month's women worker ratio, thus, is estimated and then multiplied by the all-employee estimate. The weighted-difference-link-and-taper formula (described in the source) is used to estimate the current month's women worker ratio. This formula adds the change in the matched sample's women worker ratio (the weighted-difference link) to the prior month's estimate, which has been slightly modified to reflect changes in the sample composition (the taper).  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0000000039",2018-08-01,1964-01-01,15,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Women Employees-To-All Employees Ratio: Total Nonfarm,Percent,%
CES0000000010,Monthly,M,2018-09-07 08:15:37-05,"The nonfarm business sector is a subset of the domestic economy and excludes the economic activities of the following: general government, private households, nonprofit organizations serving individuals, and farms.  To obtain estimates of women worker employment, the ratio of weighted women employees to the weighted all employees in the sample is assumed to equal the same ratio in the universe. The current month's women worker ratio, thus, is estimated and then multiplied by the all-employee estimate. The weighted-difference-link-and-taper formula (described in the source) is used to estimate the current month's women worker ratio. This formula adds the change in the matched sample's women worker ratio (the weighted-difference link) to the prior month's estimate, which has been slightly modified to reflect changes in the sample composition (the taper).  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0000000010",2018-08-01,1964-01-01,7,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Women Employees: Total Nonfarm,Thousands of Persons,Thous. of Persons
CEU0000000010,Monthly,M,2018-09-07 08:15:49-05,"To obtain estimates of women worker employment, the ratio of weighted women employees to the weighted all employees in the sample is assumed to equal the same ratio in the universe. The current month's women worker ratio, thus, is estimated and then multiplied by the all-employee estimate. The weighted-difference-link-and-taper formula (described in the source) is used to estimate the current month's women worker ratio. This formula adds the change in the matched sample's women worker ratio (the weighted-difference link) to the prior month's estimate, which has been slightly modified to reflect changes in the sample composition (the taper).  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CEU0000000010",2018-08-01,1964-01-01,1,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Women Employees: Total Nonfarm,Thousands of Persons,Thous. of Persons
CES0500000003,Monthly,M,2018-09-07 08:15:11-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0500000003,2018-08-01,2006-03-01,78,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Average Hourly Earnings of All Employees: Total Private,Dollars per Hour,$ per Hour
AHETPI,Monthly,M,2018-09-07 08:15:11-05,"Production and related employees include working supervisors and all nonsupervisory employees (including group leaders and trainees) engaged in fabricating, processing, assembling, inspecting, receiving, storing, handling, packing, warehousing, shipping, trucking, hauling, maintenance, repair, janitorial, guard services, product development, auxiliary production for plant's own use (for example, power plant), recordkeeping, and other services closely associated with the above production operations. #Nonsupervisory employees include those individuals in private, service-providing industries who are not above the working-supervisor level. This group includes individuals such as office and clerical workers, repairers, salespersons, operators, drivers, physicians, lawyers, accountants, nurses, social workers, research aides, teachers, drafters, photographers, beauticians, musicians, restaurant workers, custodial workers, attendants, line installers and repairers, laborers, janitors, guards, and other employees at similar occupational levels whose services are closely associated with those of the employees listed.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0500000008",2018-08-01,1964-01-01,73,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Average Hourly Earnings of Production and Nonsupervisory Employees: Total Private,Dollars per Hour,$ per Hour
AWHAETP,Monthly,M,2018-09-07 08:15:13-05,"Average weekly hours relate to the average hours per worker for which pay was received and is different from standard or scheduled hours. Factors such as unpaid absenteeism, labor turnover, part-time work, and stoppages cause average weekly hours to be lower than scheduled hours of work for an establishment. Group averages further reflect changes in the workweek of component industries. Average weekly hours are the total weekly hours divided by the employees paid for those hours.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0500000002",2018-08-01,2006-03-01,54,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Average Weekly Hours of All Employees: Total Private,Hours,Hours
USPRIV,Monthly,M,2018-09-07 08:15:13-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0500000001,2018-08-01,1939-01-01,53,2018-09-28,2018-09-28,Seasonally Adjusted,SA,All Employees: Total Private Industries,Thousands of Persons,Thous. of Persons
AWHNONAG,Monthly,M,2018-09-07 08:15:14-05,"Average weekly hours relate to the average hours per worker for which pay was received and is different from standard or scheduled hours. Factors such as unpaid absenteeism, labor turnover, part-time work, and stoppages cause average weekly hours to be lower than scheduled hours of work for an establishment. Group averages further reflect changes in the workweek of component industries. Average weekly hours are the total weekly hours divided by the employees paid for those hours.  Production and related employees include working supervisors and all nonsupervisory employees (including group leaders and trainees) engaged in fabricating, processing, assembling, inspecting, receiving, storing, handling, packing, warehousing, shipping, trucking, hauling, maintenance, repair, janitorial, guard services, product development, auxiliary production for plant's own use (for example, power plant), recordkeeping, and other services closely associated with the above production operations.  Nonsupervisory employees include those individuals in private, service-providing industries who are not above the working-supervisor level. This group includes individuals such as office and clerical workers, repairers, salespersons, operators, drivers, physicians, lawyers, accountants, nurses, social workers, research aides, teachers, drafters, photographers, beauticians, musicians, restaurant workers, custodial workers, attendants, line installers and repairers, laborers, janitors, guards, and other employees at similar occupational levels whose services are closely associated with those of the employees listed.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0500000007",2018-08-01,1964-01-01,51,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Average Weekly Hours of Production and Nonsupervisory Employees: Total private,Hours,Hours
CEU0500000003,Monthly,M,2018-09-07 08:15:14-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CEU0500000003,2018-08-01,2006-03-01,46,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Average Hourly Earnings of All Employees: Total Private,Dollars per Hour,$ per Hour
CES0500000011,Monthly,M,2018-09-07 08:15:15-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0500000011,2018-08-01,2006-03-01,40,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Average Weekly Earnings of All Employees: Total Private,Dollars per Week,$ per Week
CES0500000006,Monthly,M,2018-09-07 08:15:19-05,"Production and related employees include working supervisors and all nonsupervisory employees (including group leaders and trainees) engaged in fabricating, processing, assembling, inspecting, receiving, storing, handling, packing, warehousing, shipping, trucking, hauling, maintenance, repair, janitorial, guard services, product development, auxiliary production for plant's own use (for example, power plant), recordkeeping, and other services closely associated with the above production operations. #Nonsupervisory employees include those individuals in private, service-providing industries who are not above the working-supervisor level. This group includes individuals such as office and clerical workers, repairers, salespersons, operators, drivers, physicians, lawyers, accountants, nurses, social workers, research aides, teachers, drafters, photographers, beauticians, musicians, restaurant workers, custodial workers, attendants, line installers and repairers, laborers, janitors, guards, and other employees at similar occupational levels whose services are closely associated with those of the employees listed.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0500000006",2018-08-01,1964-01-01,36,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Production and Nonsupervisory Employees: Total Private,Thousands of Persons,Thous. of Persons
CEU0500000008,Monthly,M,2018-09-07 08:15:16-05,"Production and related employees include working supervisors and all nonsupervisory employees (including group leaders and trainees) engaged in fabricating, processing, assembling, inspecting, receiving, storing, handling, packing, warehousing, shipping, trucking, hauling, maintenance, repair, janitorial, guard services, product development, auxiliary production for plant's own use (for example, power plant), recordkeeping, and other services closely associated with the above production operations. #Nonsupervisory employees include those individuals in private, service-providing industries who are not above the working-supervisor level. This group includes individuals such as office and clerical workers, repairers, salespersons, operators, drivers, physicians, lawyers, accountants, nurses, social workers, research aides, teachers, drafters, photographers, beauticians, musicians, restaurant workers, custodial workers, attendants, line installers and repairers, laborers, janitors, guards, and other employees at similar occupational levels whose services are closely associated with those of the employees listed.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CEU0500000008",2018-08-01,1964-01-01,36,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Average Hourly Earnings of Production and Nonsupervisory Employees: Total Private,Dollars per Hour,$ per Hour
AWHI,Monthly,M,2018-09-07 08:15:17-05,"Indexes of aggregate weekly hours are calculated by dividing the current month's aggregate hours by the average of the 12 monthly figures, for the base year. For basic industries, the hours aggregates are the product of average weekly hours and employment of workers to which the hours apply (all employees or production and nonsupervisory employees). At all higher levels of industry aggregation, hours aggregates are the sum of the component aggregates.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0500000034",2018-08-01,1964-01-01,30,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Index of Aggregate Weekly Hours: Production and Nonsupervisory Employees: Total Private Industries,Index 2002=100,Index 2002=100
USGOOD,Monthly,M,2018-09-07 08:15:15-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0600000001,2018-08-01,1939-01-01,39,2018-09-28,2018-09-28,Seasonally Adjusted,SA,All Employees: Goods-Producing Industries,Thousands of Persons,Thous. of Persons
CES0600000008,Monthly,M,2018-09-07 08:15:25-05,"Production and related employees include working supervisors and all nonsupervisory employees (including group leaders and trainees) engaged in fabricating, processing, assembling, inspecting, receiving, storing, handling, packing, warehousing, shipping, trucking, hauling, maintenance, repair, janitorial, guard services, product development, auxiliary production for plant's own use (for example, power plant), recordkeeping, and other services closely associated with the above production operations. #Nonsupervisory employees include those individuals in private, service-providing industries who are not above the working-supervisor level. This group includes individuals such as office and clerical workers, repairers, salespersons, operators, drivers, physicians, lawyers, accountants, nurses, social workers, research aides, teachers, drafters, photographers, beauticians, musicians, restaurant workers, custodial workers, attendants, line installers and repairers, laborers, janitors, guards, and other employees at similar occupational levels whose services are closely associated with those of the employees listed.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0600000008",2018-08-01,1947-01-01,16,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Average Hourly Earnings of Production and Nonsupervisory Employees: Goods-Producing,Dollars per Hour,$ per Hour
CES0600000007,Monthly,M,2018-09-07 08:15:28-05,"Average weekly hours relate to the average hours per worker for which pay was received and is different from standard or scheduled hours. Factors such as unpaid absenteeism, labor turnover, part-time work, and stoppages cause average weekly hours to be lower than scheduled hours of work for an establishment. Group averages further reflect changes in the workweek of component industries. Average weekly hours are the total weekly hours divided by the employees paid for those hours.  Production and related employees include working supervisors and all nonsupervisory employees (including group leaders and trainees) engaged in fabricating, processing, assembling, inspecting, receiving, storing, handling, packing, warehousing, shipping, trucking, hauling, maintenance, repair, janitorial, guard services, product development, auxiliary production for plant's own use (for example, power plant), recordkeeping, and other services closely associated with the above production operations.  Nonsupervisory employees include those individuals in private, service-providing industries who are not above the working-supervisor level. This group includes individuals such as office and clerical workers, repairers, salespersons, operators, drivers, physicians, lawyers, accountants, nurses, social workers, research aides, teachers, drafters, photographers, beauticians, musicians, restaurant workers, custodial workers, attendants, line installers and repairers, laborers, janitors, guards, and other employees at similar occupational levels whose services are closely associated with those of the employees listed.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0600000007",2018-08-01,1947-01-01,8,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Average Weekly Hours of Production and Nonsupervisory Employees: Goods-Producing,Hours,Hours
CES0600000003,Monthly,M,2018-09-07 08:15:51-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0600000003,2018-08-01,2006-03-01,6,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Average Hourly Earnings of All Employees: Goods-Producing,Dollars per Hour,$ per Hour
CEU0600000001,Monthly,M,2018-09-07 08:15:36-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CEU0600000001,2018-08-01,1939-01-01,5,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,All Employees: Goods-Producing,Thousands of Persons,Thous. of Persons
CEU0600000008,Monthly,M,2018-09-07 08:16:28-05,"Production and related employees include working supervisors and all nonsupervisory employees (including group leaders and trainees) engaged in fabricating, processing, assembling, inspecting, receiving, storing, handling, packing, warehousing, shipping, trucking, hauling, maintenance, repair, janitorial, guard services, product development, auxiliary production for plant's own use (for example, power plant), recordkeeping, and other services closely associated with the above production operations. #Nonsupervisory employees include those individuals in private, service-providing industries who are not above the working-supervisor level. This group includes individuals such as office and clerical workers, repairers, salespersons, operators, drivers, physicians, lawyers, accountants, nurses, social workers, research aides, teachers, drafters, photographers, beauticians, musicians, restaurant workers, custodial workers, attendants, line installers and repairers, laborers, janitors, guards, and other employees at similar occupational levels whose services are closely associated with those of the employees listed.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CEU0600000008",2018-08-01,1947-01-01,3,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Average Hourly Earnings of Production and Nonsupervisory Employees: Goods-Producing,Dollars per Hour,$ per Hour
AWHAEGP,Monthly,M,2018-09-07 08:15:42-05,"Average weekly hours relate to the average hours per worker for which pay was received and is different from standard or scheduled hours. Factors such as unpaid absenteeism, labor turnover, part-time work, and stoppages cause average weekly hours to be lower than scheduled hours of work for an establishment. Group averages further reflect changes in the workweek of component industries. Average weekly hours are the total weekly hours divided by the employees paid for those hours.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0600000002",2018-08-01,2006-03-01,3,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Average Weekly Hours of All Employees: Goods-producing,Hours,Hours
CES0600000039,Monthly,M,2018-09-07 08:16:40-05,"To obtain estimates of women worker employment, the ratio of weighted women employees to the weighted all employees in the sample is assumed to equal the same ratio in the universe. The current month's women worker ratio, thus, is estimated and then multiplied by the all-employee estimate. The weighted-difference-link-and-taper formula (described in the source) is used to estimate the current month's women worker ratio. This formula adds the change in the matched sample's women worker ratio (the weighted-difference link) to the prior month's estimate, which has been slightly modified to reflect changes in the sample composition (the taper).  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0600000039",2018-08-01,1964-01-01,1,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Women Employees-To-All Employees Ratio: Goods-Producing,Percent,%
CES0600000030,Monthly,M,2018-09-07 08:16:41-05,"Production and related employees include working supervisors and all nonsupervisory employees (including group leaders and trainees) engaged in fabricating, processing, assembling, inspecting, receiving, storing, handling, packing, warehousing, shipping, trucking, hauling, maintenance, repair, janitorial, guard services, product development, auxiliary production for plant's own use (for example, power plant), recordkeeping, and other services closely associated with the above production operations. #Nonsupervisory employees include those individuals in private, service-providing industries who are not above the working-supervisor level. This group includes individuals such as office and clerical workers, repairers, salespersons, operators, drivers, physicians, lawyers, accountants, nurses, social workers, research aides, teachers, drafters, photographers, beauticians, musicians, restaurant workers, custodial workers, attendants, line installers and repairers, laborers, janitors, guards, and other employees at similar occupational levels whose services are closely associated with those of the employees listed.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0600000030",2018-08-01,1947-01-01,1,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Average Weekly Earnings of Production and Nonsupervisory Employees: Goods-Producing,Dollars per Week,$ per Week
CES0600000035,Monthly,M,2018-09-07 08:16:40-05,"Indexes of aggregate weekly payrolls are calculated by dividing the current month's aggregate by the average of the 12 monthly figures for the base year. Indexes are averages for production and nonsupervisory employees. For basic industries, the payroll aggregates are the product of average hourly earnings and aggregate weekly hours. At all higher levels of industry aggregation, payroll aggregates are the sum of the component aggregates.  Production and related employees include working supervisors and all nonsupervisory employees (including group leaders and trainees) engaged in fabricating, processing, assembling, inspecting, receiving, storing, handling, packing, warehousing, shipping, trucking, hauling, maintenance, repair, janitorial, guard services, product development, auxiliary production for plant's own use (for example, power plant), recordkeeping, and other services closely associated with the above production operations. #Nonsupervisory employees include those individuals in private, service-providing industries who are not above the working-supervisor level. This group includes individuals such as office and clerical workers, repairers, salespersons, operators, drivers, physicians, lawyers, accountants, nurses, social workers, research aides, teachers, drafters, photographers, beauticians, musicians, restaurant workers, custodial workers, attendants, line installers and repairers, laborers, janitors, guards, and other employees at similar occupational levels whose services are closely associated with those of the employees listed.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0600000035",2018-08-01,1947-01-01,1,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Indexes of Aggregate Weekly Payrolls of Production and Nonsupervisory Employees: Goods-Producing,Index 2002=100,Index 2002=100
SRVPRD,Monthly,M,2018-09-07 08:15:16-05,Handbook of Methods Establishment Survey - (http://www.bls.gov/opub/hom/pdf/homch2.pdf)  Frequently Asked Questions - (http://stats.bls.gov:80/cps/cps_faq.htm)  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0700000001,2018-08-01,1939-01-01,34,2018-09-28,2018-09-28,Seasonally Adjusted,SA,All Employees: Service-Providing Industries,Thousands of Persons,Thous. of Persons
CES0800000001,Monthly,M,2018-09-07 08:15:21-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0800000001,2018-08-01,1939-01-01,18,2018-09-28,2018-09-28,Seasonally Adjusted,SA,All Employees: Private Service-Providing,Thousands of Persons,Thous. of Persons
CES0800000007,Monthly,M,2018-09-07 08:15:33-05,"Average weekly hours relate to the average hours per worker for which pay was received and is different from standard or scheduled hours. Factors such as unpaid absenteeism, labor turnover, part-time work, and stoppages cause average weekly hours to be lower than scheduled hours of work for an establishment. Group averages further reflect changes in the workweek of component industries. Average weekly hours are the total weekly hours divided by the employees paid for those hours.  Production and related employees include working supervisors and all nonsupervisory employees (including group leaders and trainees) engaged in fabricating, processing, assembling, inspecting, receiving, storing, handling, packing, warehousing, shipping, trucking, hauling, maintenance, repair, janitorial, guard services, product development, auxiliary production for plant's own use (for example, power plant), recordkeeping, and other services closely associated with the above production operations.  Nonsupervisory employees include those individuals in private, service-providing industries who are not above the working-supervisor level. This group includes individuals such as office and clerical workers, repairers, salespersons, operators, drivers, physicians, lawyers, accountants, nurses, social workers, research aides, teachers, drafters, photographers, beauticians, musicians, restaurant workers, custodial workers, attendants, line installers and repairers, laborers, janitors, guards, and other employees at similar occupational levels whose services are closely associated with those of the employees listed.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0800000007",2018-08-01,1964-01-01,5,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Average Weekly Hours of Production and Nonsupervisory Employees: Private Service-Providing,Hours,Hours
CES0800000008,Monthly,M,2018-09-07 08:15:37-05,"Production and related employees include working supervisors and all nonsupervisory employees (including group leaders and trainees) engaged in fabricating, processing, assembling, inspecting, receiving, storing, handling, packing, warehousing, shipping, trucking, hauling, maintenance, repair, janitorial, guard services, product development, auxiliary production for plant's own use (for example, power plant), recordkeeping, and other services closely associated with the above production operations. #Nonsupervisory employees include those individuals in private, service-providing industries who are not above the working-supervisor level. This group includes individuals such as office and clerical workers, repairers, salespersons, operators, drivers, physicians, lawyers, accountants, nurses, social workers, research aides, teachers, drafters, photographers, beauticians, musicians, restaurant workers, custodial workers, attendants, line installers and repairers, laborers, janitors, guards, and other employees at similar occupational levels whose services are closely associated with those of the employees listed.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0800000008",2018-08-01,1964-01-01,5,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Average Hourly Earnings of Production and Nonsupervisory Employees: Private Service-Providing,Dollars per Hour,$ per Hour
CES0800000003,Monthly,M,2018-09-07 08:15:51-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0800000003,2018-08-01,2006-03-01,4,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Average Hourly Earnings of All Employees: Private Service-Providing,Dollars per Hour,$ per Hour
CEU0800000017,Monthly,M,2018-09-07 08:15:32-05,"Indexes of aggregate weekly payrolls are calculated by dividing the current month's aggregate by the average of the 12 monthly figures for the base year. Indexes are averages for production and nonsupervisory employees. For basic industries, the payroll aggregates are the product of average hourly earnings and aggregate weekly hours. At all higher levels of industry aggregation, payroll aggregates are the sum of the component aggregates.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CEU0800000017",2018-08-01,2006-03-01,4,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Indexes of Aggregate Weekly Payrolls of All Employees: Private Service-Providing,Index 2007=100,Index 2007=100
AWHAEPSP,Monthly,M,2018-09-07 08:15:51-05,"Average weekly hours relate to the average hours per worker for which pay was received and is different from standard or scheduled hours. Factors such as unpaid absenteeism, labor turnover, part-time work, and stoppages cause average weekly hours to be lower than scheduled hours of work for an establishment. Group averages further reflect changes in the workweek of component industries. Average weekly hours are the total weekly hours divided by the employees paid for those hours.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0800000002",2018-08-01,2006-03-01,1,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Average Weekly Hours of All Employees: Private service-providing,Hours,Hours
CEU0800000001,Monthly,M,2018-09-07 08:15:26-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CEU0800000001,2018-08-01,1939-01-01,1,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,All Employees: Private Service-Providing,Thousands of Persons,Thous. of Persons
CEU0800000003,Monthly,M,2018-09-07 08:16:27-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CEU0800000003,2018-08-01,2006-03-01,1,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Average Hourly Earnings of All Employees: Private Service-Providing,Dollars per Hour,$ per Hour
CEU0800000008,Monthly,M,2018-09-07 08:15:49-05,"Production and related employees include working supervisors and all nonsupervisory employees (including group leaders and trainees) engaged in fabricating, processing, assembling, inspecting, receiving, storing, handling, packing, warehousing, shipping, trucking, hauling, maintenance, repair, janitorial, guard services, product development, auxiliary production for plant's own use (for example, power plant), recordkeeping, and other services closely associated with the above production operations. #Nonsupervisory employees include those individuals in private, service-providing industries who are not above the working-supervisor level. This group includes individuals such as office and clerical workers, repairers, salespersons, operators, drivers, physicians, lawyers, accountants, nurses, social workers, research aides, teachers, drafters, photographers, beauticians, musicians, restaurant workers, custodial workers, attendants, line installers and repairers, laborers, janitors, guards, and other employees at similar occupational levels whose services are closely associated with those of the employees listed.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CEU0800000008",2018-08-01,1964-01-01,1,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,Average Hourly Earnings of Production and Nonsupervisory Employees: Private Service-Providing,Dollars per Hour,$ per Hour
CES0800000017,Monthly,M,2018-09-07 08:16:40-05,"Indexes of aggregate weekly payrolls are calculated by dividing the current month's aggregate by the average of the 12 monthly figures for the base year. Indexes are averages for production and nonsupervisory employees. For basic industries, the payroll aggregates are the product of average hourly earnings and aggregate weekly hours. At all higher levels of industry aggregation, payroll aggregates are the sum of the component aggregates.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES0800000017",2018-08-01,2006-03-01,1,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Indexes of Aggregate Weekly Payrolls of All Employees: Private Service-Providing,Index 2007=100,Index 2007=100
CES1021210001,Monthly,M,2018-09-07 08:15:13-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES1021210001,2018-08-01,1985-01-01,52,2018-09-28,2018-09-28,Seasonally Adjusted,SA,All Employees: Mining and Logging: Coal Mining,Thousands of Persons,Thous. of Persons
CEU1021210001,Monthly,M,2018-09-07 08:15:14-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CEU1021210001,2018-08-01,1985-01-01,43,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,All Employees: Mining and Logging: Coal Mining,Thousands of Persons,Thous. of Persons
CES1021100001,Monthly,M,2018-09-07 08:15:16-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES1021100001,2018-08-01,1972-01-01,32,2018-09-28,2018-09-28,Seasonally Adjusted,SA,All Employees: Mining and Logging: Oil and Gas Extraction,Thousands of Persons,Thous. of Persons
USMINE,Monthly,M,2018-09-07 08:15:19-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES1000000001,2018-08-01,1939-01-01,21,2018-09-28,2018-09-28,Seasonally Adjusted,SA,All Employees: Mining and logging,Thousands of Persons,Thous. of Persons
CES1021000001,Monthly,M,2018-09-07 08:15:27-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES1021000001,2018-08-01,1958-01-01,12,2018-09-28,2018-09-28,Seasonally Adjusted,SA,All Employees: Mining and Logging: Mining,Thousands of Persons,Thous. of Persons
CES1000000008,Monthly,M,2018-09-07 08:15:30-05,"Production and related employees include working supervisors and all nonsupervisory employees (including group leaders and trainees) engaged in fabricating, processing, assembling, inspecting, receiving, storing, handling, packing, warehousing, shipping, trucking, hauling, maintenance, repair, janitorial, guard services, product development, auxiliary production for plant's own use (for example, power plant), recordkeeping, and other services closely associated with the above production operations. #Nonsupervisory employees include those individuals in private, service-providing industries who are not above the working-supervisor level. This group includes individuals such as office and clerical workers, repairers, salespersons, operators, drivers, physicians, lawyers, accountants, nurses, social workers, research aides, teachers, drafters, photographers, beauticians, musicians, restaurant workers, custodial workers, attendants, line installers and repairers, laborers, janitors, guards, and other employees at similar occupational levels whose services are closely associated with those of the employees listed.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES1000000008",2018-08-01,1947-01-01,7,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Average Hourly Earnings of Production and Nonsupervisory Employees: Mining and Logging,Dollars per Hour,$ per Hour
CEU1021100001,Monthly,M,2018-09-07 08:15:27-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CEU1021100001,2018-08-01,1972-01-01,5,2018-09-28,2018-09-28,Not Seasonally Adjusted,NSA,All Employees: Mining and Logging: Oil and Gas Extraction,Thousands of Persons,Thous. of Persons
CES1021300001,Monthly,M,2018-09-07 08:15:42-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES1021300001,2018-08-01,1990-01-01,5,2018-09-28,2018-09-28,Seasonally Adjusted,SA,All Employees: Mining and Logging: Support Activities for Mining,Thousands of Persons,Thous. of Persons
CES1011330001,Monthly,M,2018-09-07 08:15:37-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES1011330001,2018-08-01,1947-01-01,5,2018-09-28,2018-09-28,Seasonally Adjusted,SA,All Employees: Mining and Logging: Logging,Thousands of Persons,Thous. of Persons
CES1000000003,Monthly,M,2018-09-07 08:15:42-05,The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES1000000003,2018-08-01,2006-03-01,4,2018-09-28,2018-09-28,Seasonally Adjusted,SA,Average Hourly Earnings of All Employees: Mining and Logging,Dollars per Hour,$ per Hour
USCONS,Monthly,M,2018-09-07 08:15:13-05,"Construction employees in the construction sector include: Working supervisors, qualified craft workers, mechanics, apprentices, helpers, laborers, and so forth, engaged in new work, alterations, demolition, repair, maintenance, and the like, whether working at the site of construction or in shops or yards at jobs (such as precutting and preassembling) ordinarily performed by members of the construction trades.  The series comes from the 'Current Employment Statistics (Establishment Survey).'  The source code is: CES2000000001",2018-08-01,1939-01-01,55,2018-09-28,2018-09-28,Seasonally Adjusted,SA,All Employees: Construction,Thousands of Persons,Thous. of Persons
